T ;II;RII;_L;R_L
65;7.48E-09;7.88E+04;7.89E-09;6.77E+04
63;7.48E-09;8.14E+04;7.26E-09;6.97E+04
61;6.71E-09;8.48E+04;6.36E-09;7.58E+04
59.5;6.37E-09;8.55E+04;5.75E-09;8.55E+04
59;6.01E-09;8.57E+04;5.62E-09;8.83E+04
58.5;5.87E-09;8.61E+04;5.39E-09;9.15E+04
58;5.89E-09;8.68E+04;5.28E-09;9.16E+04
57.5;5.11E-09;9.06E+04;4.66E-09;1.09E+05
57;5.02E-09;9.06E+04;4.80E-09;1.02E+05
56.5;5.32E-09;8.82E+04;4.77E-09;1.05E+05
56;5.31E-09;8.86E+04;4.70E-09;1.07E+05
55.5;5.09E-09;9.06E+04;4.59E-09;1.08E+05
55;5.00E-09;9.16E+04;4.30E-09;1.15E+05
52;4.04E-09;1.02E+05;3.63E-09;1.30E+05
49;3.52E-09;1.09E+05;2.90E-09;1.49E+05
46;2.65E-09;1.24E+05;2.38E-09;1.67E+05
43;2.04E-09;1.38E+05;1.89E-09;1.95E+05
